#	type	pattern	pilot	lemma	freq
74	T	N N	word error	word error	21
75	T	N	byte	byte	21
76	T	N	datasets	datasets	21
77	T	N	audiobooks	audiobooks	41
78	T	N	Mellotron	mellotron	41
79	T	N N	Opinion Score	opinion score	20
80	T	N N	output language	output language	20
81	T	N N	Transformer TTS	transformer tts	20
81	V[s]	N N N	autoregressive Transformer TTS	autoregressive transformer tts	10
81	V[s]	N N N	Transformer TTS model	transformer tts model	10
84	T	N N	pitch contour	pitch contour	20
85	T	N N	attention alignments	attention alignment	19
87	T	N N	phoneme error	phoneme error	19
88	T	N N	synthesis model	synthesis model	19
88	V[s]	A N N	audio synthesis model	audio synthesis model	11
89	T	N N	output layer	output layer	19
90	T	N N	target speaker	target speaker	19
91	T	A N	natural speech	natural speech	18
92	T	A N	multiple languages	multiple language	18
93	T	N N	attention mechanism	attention mechanism	18
94	T	A N N	neural TTS system	neural tts system	18
95	T	N	punctuation	punctuation	18
96	T	A A N	convolutional neural networks	convolutional neural network	18
97	T	N N	speech signal	speech signal	18
98	T	N	MRASTA	mrasta	18
100	T	N N	autoregressive model	autoregressive model	18
101	T	N	VCTK	vctk	17
102	T	A N N	multilingual speech processing	multilingual speech processing	17
104	T	N	BLSTM	blstm	17
105	T	A N	temporal context	temporal context	17
106	T	A N	hidden layers	hidden layer	17
107	V[s]+	N N N	MLP feature extraction	mlp feature extraction	10
108	T	N N	pronunciation dictionaries	pronunciation dictionary	16
109	T	N N	text-to-speech systems	text-to-speech system	16
110	T	A N	single speaker	single speaker	16
111	T	A N	native speakers	native speaker	16
112	T	A	spectral	spectral	31
113	T	N N	batch normalization	batch normalization	15
114	T	A N	hidden states	hidden state	15
116	T	A N	non-autoregressive ParaNet	non-autoregressive paranet	15
117	T	N N	segmentation model	segmentation model	15
118	T	N	CBHG	cbhg	15
119	T	A N	residual encoder	residual encoder	15
120	T	N N	Tundra corpus	tundra corpus	14
121	T	N N	speaker similarity	speaker similarity	14
122	T	N N	attention block	attention block	14
123	T	A N	future work	future work	14
124	T	N N	expert knowledge	expert knowledge	14
125	T	A N	multilingual TTS	multilingual tts	14
126	T	A N	1D convolution	1d convolution	14
127	T	N	WaveVAE	wavevae	14
128	T	N N	phoneme inputs	phoneme input	14
129	T	N N N	word error rate	word error rate	14
132	T	N N	batch size	batch size	14
133	T	N	generalization	generalization	13
134	T	N N	input language	input language	13
135	T	A N	multilingual model	multilingual model	13
136	T	N P N	amount of data	amount of datum	13
137	T	N N	speaker verification	speaker verification	13
138	T	N N	speech-to-speech translation	speech-to-speech translation	13
139	T	N	suffixes	suffix	13
140	T	N N	speech quality	speech quality	13
141	T	A N	recurrent layers	recurrent layer	13
142	T	N	TANH	tanh	13
143	T	N	softmax	softmax	13
144	T	A N	cross-lingual adaptation	cross-lingual adaptation	13
145	T	N	nonlinearity	nonlinearity	13
146	T	N N	input text	input text	13
148	T	N	speedup	speedup	13
149	T	N N	frequency model	frequency model	13
150	T	A A N N	statistical parametric speech synthesis	statistical parametric speech synthesis	13
151	T	N N	voice speed	voice speed	13
152	T	N N	log likelihood	log likelihood	13
153	T	N N	training speakers	training speaker	12
154	T	N N	language identification	language identification	12
156	T	N N	post-processing net	post-processing net	12
157	T	N	MLPs	mlps	12
159	T	N N	input sequence	input sequence	12
160	T	A N N	HMM-based generation synthesis	hmm-based generation synthesis	12
161	T	N N	text-to-spectrogram model	text-to-spectrogram model	12
162	T	N	ReLU	relu	12
163	T	N N	feature vector	feature vector	12
164	T	N	GPUs	gpus	12
165	T	N	lattice	lattice	12
166	T	N N	model parameters	model parameter	12
167	T	N N	training algorithm	training algorithm	12
168	T	N N	duration model	duration model	12
169	T	N N	synthesis network	synthesis network	12
171	T	N	GlobalPhone	globalphone	35
172	T	A	seq2seq	seq2seq	23
173	T	A N	convolutional layers	convolutional layer	23
174	T	A N	latent variables	latent variable	11
175	T	N N	background noise	background noise	11
176	T	N	STFT	stft	11
177	T	A N	audio signal	audio signal	11
179	T	N N	attention errors	attention error	11
180	T	N N	phoneme boundaries	phoneme boundary	11
181	T	A N	lexical analysis	lexical analysis	22
183	T	N	dropout	dropout	11
184	T	N N	text analysis	text analysis	11
185	T	A N	unseen speakers	unseen speaker	11
186	T	N N	mel-spectrogram sequence	mel-spectrogram sequence	11
187	T	N	LSTMs	lstms	11
188	V[s]	A A N N	statistical parametric speech synthesis	statistical parametric speech synthesis	13
188	T	A A N	statistical parametric synthesis	statistical parametric synthesis	11
189	T	N N	MOS scores	mo score	11
190	T	N N N	speech processing systems	speech processing system	11
191	T	N	HMMs	hmms	11
192	T	N N	G2P conversion	g2p conversion	21
194	T	A N	multilingual ASR	multilingual asr	10
195	T	N	CMUDict	cmudict	20
198	T	A	morphologic	morphologic	10
199	T	N N	speech database	speech database	10
200	T	N	concatenation	concatenation	10
201	T	N N N	Transformer TTS model	transformer tts model	10
203	T	N N N	MLP feature extraction	mlp feature extraction	10
204	T	A N	written form	written form	10
206	T	N N	duration predictor	duration predictor	20
207	T	N N	MOS evaluation	mo evaluation	10
208	T	N N	knowledge distillation	knowledge distillation	10
208	V[s]	A N N	sequence-level knowledge distillation	sequence-level knowledge distillation	9
209	T	N N	voice synthesis	voice synthesis	10
210	T	N N	text normalization	text normalization	10
211	T	A N	multiple speakers	multiple speaker	10
212	T	N N N	autoregressive Transformer TTS	autoregressive transformer tts	10
213	T	N	NetTalk	nettalk	10
214	T	N	morpheme	morpheme	10
215	T	N N	reversal layer	reversal layer	10
215	V[s]	A N N	gradient reversal layer	gradient reversal layer	8
216	T	A N N	high quality speech	high quality speech	10
217	T	N	RNNs	rnns	10
219	T	N N	text data	text datum	19
220	T	A N	multilingual MLP	multilingual mlp	19
221	T	N	Bi-LSTM	bi-lstm	19
222	T	A	audio	audio	189
224	T	N N	Adam optimizer	adam optimizer	9
226	T	N	hier-MRASTA	hier-mrasta	9
227	T	N N	waveform synthesis	waveform synthesis	9
228	T	N N	audiobook data	audiobook datum	9
231	T	A N N	automatic speech recognition	automatic speech recognition	9
232	T	A	phonological	phonological	9
234	T	N N N	speech recognition systems	speech recognition system	9
235	T	N N	end-to-end TTS	end-to-end tts	9
237	T	N N	test sets	test set	9
238	T	N N	network architecture	network architecture	9
239	T	N N	teacher model	teacher model	9
240	T	A A N	recurrent neural network	recurrent neural network	9
241	T	A N	audio data	audio datum	9
242	T	A N N N	HMM-based generation synthesis approach	hmm-based generation synthesis approach	9
243	T	N N	truth audio	truth audio	9
244	T	N N	phoneme pairs	phoneme pair	9
245	T	A N	synthetic speech	synthetic speech	9
247	T	N N	text input	text input	9
248	T	A N	seq2seq model	seq2seq model	9
249	T	A N N	sequence-level knowledge distillation	sequence-level knowledge distillation	9
250	T	N	interpolation	interpolation	9
252	T	N N	mel-spectrogram generation	mel-spectrogram generation	9
253	T	N N	FastSpeech model	fastspeech model	9
254	T	N N	speech waveform	speech waveform	9
255	T	N	MUSHRA	mushra	8
256	T	N N N	speech synthesis system	speech synthesis system	8
257	T	N	morphology	morphology	8
258	T	N N N	probability density function	probability density function	8
259	T	A N	non-autoregressive model	non-autoregressive model	8
260	T	A N	maximum likelihood	maximum likelihood	8
261	T	A N	vocal model	vocal model	8
262	T	N N	training set	training set	8
263	T	N N	Markov models	markov model	8
266	T	A N N	gradient reversal layer	gradient reversal layer	8
267	T	A N	audio samples	audio sample	8
270	T	N N A N	output language acoustic model	output language acoustic model	8
271	T	N N	word class	word class	8
274	T	N N	sentence boundary	sentence boundary	8
275	T	A N	dynamic features	dynamic feature	8
276	T	N N	adversarial loss	adversarial loss	8
277	T	A N	vocal range	vocal range	8
279	T	N	recognizer	recognizer	8
281	T	A N	multilingual text-to-speech	multilingual text-to-speech	8
282	T	N	pre-net	pre-net	8
284	T	N N	training corpus	training corpus	8
285	T	N N	language processing	language processing	8
286	T	N N N N	autoregressive Transformer TTS model	autoregressive transformer tts model	8
287	T	N N	sentence segmentation	sentence segmentation	8
288	T	N N	word segmentation	word segmentation	8
289	T	N	phonology	phonology	8
290	T	A N N	cross-lingual speaker adaptation	cross-lingual speaker adaptation	8
291	T	N N	convolution block	convolution block	8
293	T	A N	site-specific speaker	site-specific speaker	8
294	T	A A N	deep neural networks	deep neural network	8
295	T	A N	phonotactic constraints	phonotactic constraint	8
296	T	N N	cross-language voice	cross-language voice	8
297	T	A N	HMM-based TTS	hmm-based tts	8
298	T	N N	confidence intervals	confidence interval	8
301	T	N	WaveGlow	waveglow	23
302	T	A	phonotactic	phonotactic	15
303	T	N	Griffin-Lim	griffin-lim	15
305	T	N N	text-to-speech synthesis	text-to-speech synthesis	14
310	T	N N	inference speed	inference speed	14
338	T	N	hyperparameters	hyperparameters	21
341	T	N N	grapheme-to-phoneme conversion	grapheme-to-phoneme conversion	14
348	T	N	cross-language	cross-language	20
349	T	A	speaker-dependent	speaker-dependent	13
350	T	N N	parameter generation	parameter generation	13
352	T	N	CSS10	css10	12
395	T	A	rule-based	rule-based	12
427	T	A N	cepstral coefficients	cepstral coefficient	11
428	V[s]	A A N	convolutional neural networks	convolutional neural network	18
428	T	A N	convolutional network	convolutional network	11
429	T	A N N	audio synthesis model	audio synthesis model	11
450	T	A N	synthetic voices	synthetic voice	10
485	T	A N	cross-lingual MLP	cross-lingual mlp	10
495	T	A N N	multilingual MLP features	multilingual mlp feature	10
516	T	A N	morphological analysis	morphological analysis	10
522	T	N N	Index Terms	index term	10
533	T	N N	multi-speaker TTS	multi-speaker tts	9
535	T	N	synthesizer	synthesizer	63
536	T	A N	cepstral features	cepstral feature	9
538	T	A	acoustic	acoustic	136
539	T	N N	log-mel spectrograms	log-mel spectrograms	13
540	T	N	code-switching	code-switching	13
625	T	A N	cross-lingual voice	cross-lingual voice	8
644	T	N	Simple4All	simple4all	8
647	T	N N	TTS front-end	tts front-end	12
678	T	N N	multispeaker models	multispeaker model	8
682	T	A	sigmoid	sigmoid	8
722	T	N N	FFT blocks	fft block	8
735	T	A	waveform-level	waveform-level	8
745	T	N	pronunciation	pronunciation	77
758	T	A A N	feedforward neural network	feedforward neural network	10
759	T	A	finite-state	finite-state	13
843	T	A	context-independent	context-independent	15
847	T	A	language-dependent	language-dependent	12
923	V[img]	A N N	high quality speech	high quality speech	10
1073	V[s]+	N N	phoneme sequence	phoneme sequence	26
1085	T	A	language-independent	language-independent	13
1111	T	N	syllable	syllable	44
1221	T	A N	context-independent phones	context-independent phone	10
2170	T	N	lexicon	lexicon	39
2177	T	N	layer	layer	220
2239	T	N	noun	noun	19
2359	V[mg]	N N	text normalization	text normalization	10
2516	V[mg]+	A N	Deep Voice	deep voice	77
2571	V[mg]	N N	batch size	batch size	14
2649	T	N	input	input	270
2650	T	N	Merlin	merlin	15
2651	T	N	speaker	speaker	630
2654	T	N	sequence	sequence	184
2657	T	N	model	model	1030
2664	T	N	frequency	frequency	71
2667	T	N	vowel	vowel	17
2675	T	N	text	text	236
2676	T	N	data	datum	317
2677	T	N	language	language	746
2687	T	N	database	database	57
2690	T	N	speech	speech	616
2696	T	N	features	feature	318
2700	T	N	skip	skip	12
2727	T	N	components	component	76
2729	T	N	ClariNet	clarinet	12
2738	T	N	voice	voice	327
2755	T	N	samples	sample	88
2793	T	N	training	training	321
2878	T	N	word	word	327
2880	T	N	spectrum	spectrum	13
2889	T	N	ratings	rating	26
2909	T	N	system	system	464
2920	T	N	string	string	29
2953	T	N	labels	label	32
2991	T	N	sentences	sentence	87
3065	T	N	results	result	197
3114	T	N	test	test	72
3119	T	N	loss	loss	71
3146	T	N	Figure	figure	135
3193	T	N	letter	letter	55
3235	T	N	advances	advance	14
3284	T	N	terms	term	50
3296	T	N	sounds	sound	14
3627	T	N	WORLD	world	23
1111	T	N	audiobook	audiobook	
